generated_at,tool,model,prompt_version,asset_type,reference_set_id,reference_paths,output_path,review_status,review_notes
2026-06-08T11:44:03+09:00,image_gen_builtin,builtin-default,keyart-calibration-v1,keyart,joseon_active_working_v1,"prompt-described active refs; no direct file inputs","workbench/probes/gpt-image2/keyart-calibration-2026-06-08/joseon_keyart_calibration_v1_a.png",pending,"Strong mood and Joseon gate; reduce upper-left clutter for title space and push Gwisae away from generic ninja/assassin silhouette in next pass."
2026-06-08T11:50:43+09:00,image_gen_builtin,builtin-default,keyart-calibration-v1b,keyart,joseon_active_working_v1,"prompt-described active refs; no direct file inputs","workbench/probes/gpt-image2/keyart-calibration-2026-06-08/joseon_keyart_calibration_v1_b.png",review,"Better title-safe upper-left space and stronger Joseon red masked blade-dancer silhouette; character identities still need direct reference-image input in a later API/CLI pass."
"2026-09-17T01:39:36.1282126+09:00","image_gen_builtin","builtin-default-unverified","keyart-v2-A","keyart","doho-cref1-working","sheets/doho/doho_ref_sheet.png","archive/art-history-2026-09-17/workbench/probes/keyart-v2-2026-09-17/doho_a_initial.png","superseded","Actual image reference supplied. Hat and sword cropped; framing corrected in A2."
"2026-09-17T01:39:36.1282126+09:00","image_gen_builtin","builtin-default-unverified","keyart-v2-A2","keyart","doho-cref1-working","archive/art-history-2026-09-17/workbench/probes/keyart-v2-2026-09-17/doho_a_initial.png","archive/art-history-2026-09-17/workbench/probes/keyart-v2-2026-09-17/doho_a_threshold.png","review","Framing corrected. Full hat and sword. Descent ambiguous; backdrop needs simplification."
"2026-09-17T01:39:36.1282126+09:00","image_gen_builtin","builtin-default-unverified","keyart-v2-B","keyart","doho-cref1-working","sheets/doho/doho_ref_sheet.png","archive/art-history-2026-09-17/workbench/probes/keyart-v2-2026-09-17/doho_b_descent.png","review","Actual image reference supplied. Recommended direction for dungeon descent; title space and backdrop density need refinement. Not PD-approved."
"2026-09-17T01:55:19.6502857+09:00","image_gen_builtin","builtin-default-unverified","doho_c_swagger.png","keyart","doho-cref1-working","sheets/doho/doho_ref_sheet.png","archive/art-history-2026-09-17/workbench/probes/keyart-v2-2026-09-17/doho_c_swagger.png","review","Round 2 composition exploration. Actual image input. Prompt and visual review in ROUND2.md. Not approved."
"2026-09-17T01:55:19.6502857+09:00","image_gen_builtin","builtin-default-unverified","doho_d_seal_slash.png","keyart","doho-cref1-working","sheets/doho/doho_ref_sheet.png","archive/art-history-2026-09-17/workbench/probes/keyart-v2-2026-09-17/doho_d_seal_slash.png","review","Round 2 composition exploration. Actual image input. Prompt and visual review in ROUND2.md. Not approved."
"2026-09-17T01:55:19.6502857+09:00","image_gen_builtin","builtin-default-unverified","doho_e_fox_shadow.png","keyart","doho-cref1-working","sheets/doho/doho_ref_sheet.png","archive/art-history-2026-09-17/workbench/probes/keyart-v2-2026-09-17/doho_e_fox_shadow.png","review","Round 2 composition exploration. Actual image input. Prompt and visual review in ROUND2.md. Not approved."
"2026-09-17T02:08:40.0426513+09:00","image_gen_builtin","builtin-default-unverified","catalog_doho_D01-D03.png","character-catalog","character-identity-catalog-working","sheets/doho/doho_ref_sheet.png","archive/art-history-2026-09-17/workbench/probes/character-catalog-2026-09-17/catalog_doho_D01-D03.png","review","Three numbered design candidates. Actual reference input. Additional Doho board layout reference for Gwisae, Cheongyeon and Gumiho. See CATALOG.md."
"2026-09-17T02:08:40.0426513+09:00","image_gen_builtin","builtin-default-unverified","catalog_gwisae_G01-G03.png","character-catalog","character-identity-catalog-working","sheets/gwisae/gwisae_ref_sheet.png","archive/art-history-2026-09-17/workbench/probes/character-catalog-2026-09-17/catalog_gwisae_G01-G03.png","review","Three numbered design candidates. Actual reference input. Additional Doho board layout reference for Gwisae, Cheongyeon and Gumiho. See CATALOG.md."
